[ 2025-04-03 14:45:08,874 ] 151 root - INFO - Basic transformation completed successfully
[ 2025-04-03 14:47:05,553 ] 20 root - INFO - Data transformation has been started
[ 2025-04-03 14:47:05,553 ] 113 root - INFO - Basic transformation in progress
[ 2025-04-03 14:47:05,553 ] 115 root - INFO - Columns renamed based on configuration
[ 2025-04-03 14:47:05,553 ] 119 root - INFO - Loading precomputed flight code statistics for prediction
[ 2025-04-03 14:47:05,553 ] 125 root - INFO - Starting flight data processing
[ 2025-04-03 14:47:05,553 ] 127 root - INFO - Flight timing and duration features created
[ 2025-04-03 14:47:05,553 ] 129 root - INFO - Creating stop-related features
[ 2025-04-03 14:47:05,567 ] 131 root - INFO - Stop-related features added
[ 2025-04-03 14:47:05,567 ] 133 root - INFO - Applying flight code frequency-based features
[ 2025-04-03 14:47:05,569 ] 135 root - INFO - Flight code features added successfully
[ 2025-04-03 14:47:05,569 ] 137 root - INFO - Mapping 'is_frequent_route' to binary format
[ 2025-04-03 14:47:05,569 ] 140 root - INFO - Dropping unnecessary columns: ['flight_date', 'airline_code', 'stop_area']
[ 2025-04-03 14:47:05,572 ] 151 root - INFO - Basic transformation completed successfully
[ 2025-04-03 14:49:28,388 ] 20 root - INFO - Data transformation has been started
[ 2025-04-03 14:49:28,389 ] 113 root - INFO - Basic transformation in progress
[ 2025-04-03 14:49:28,389 ] 115 root - INFO - Columns renamed based on configuration
[ 2025-04-03 14:49:28,389 ] 119 root - INFO - Loading precomputed flight code statistics for prediction
[ 2025-04-03 14:49:28,390 ] 125 root - INFO - Starting flight data processing
[ 2025-04-03 14:49:28,394 ] 127 root - INFO - Flight timing and duration features created
[ 2025-04-03 14:49:28,394 ] 129 root - INFO - Creating stop-related features
[ 2025-04-03 14:49:28,396 ] 131 root - INFO - Stop-related features added
[ 2025-04-03 14:49:28,396 ] 133 root - INFO - Applying flight code frequency-based features
[ 2025-04-03 14:49:28,400 ] 135 root - INFO - Flight code features added successfully
[ 2025-04-03 14:49:28,400 ] 137 root - INFO - Mapping 'is_frequent_route' to binary format
[ 2025-04-03 14:49:28,400 ] 140 root - INFO - Dropping unnecessary columns: ['flight_date', 'airline_code', 'stop_area']
[ 2025-04-03 14:49:28,401 ] 151 root - INFO - Basic transformation completed successfully
