airline_name,flight_code
AirAsia,1426
GO FIRST,399
Indigo,2336
AirAsia,548
Indigo,6809
SpiceJet,768
Air India,663
Indigo,489
Indigo,156
GO FIRST,7536
GO FIRST,2513
AirAsia,787
GO FIRST,7537
Indigo,5236
GO FIRST,518
GO FIRST,7546
GO FIRST,517
Vistara,727
AirAsia,1528
GO FIRST,317
GO FIRST,331
SpiceJet,8709
SpiceJet,8710
Air India,469
Indigo,5332
Air India,465
AirAsia,1621
SpiceJet,8157
AirAsia,722
SpiceJet,2976
SpiceJet,337
Indigo,6467
AirAsia,996
AirAsia,1782
GO FIRST,287
SpiceJet,8803
SpiceJet,8946
AirAsia,749
AirAsia,1517
AirAsia,1562
Indigo,6215
Indigo,375
Air India,483
Indigo,793
AirAsia,711
GO FIRST,382
Air India,9501
Vistara,847
Indigo,397
Indigo,2474
Indigo,2193
Indigo,855
GO FIRST,125
Air India,485
Indigo,5175
Indigo,219
Indigo,371
GO FIRST,790
Air India,406
Indigo,5392
Indigo,2147
AirAsia,766
SpiceJet,516
GO FIRST,275
GO FIRST,283
Air India,523
Indigo,7298
Indigo,7403
GO FIRST,211
Indigo,752
Indigo,5002
GO FIRST,165
Air India,479
Indigo,2348
Indigo,369
GO FIRST,510
AirAsia,768
GO FIRST,341
AirAsia,2461
Indigo,193
Air India,811
Indigo,6214
Indigo,5366
AirAsia,710
SpiceJet,406
AirAsia,818
SpiceJet,3281
Indigo,5371
Air India,649
Vistara,621
SpiceJet,251
GO FIRST,423
Indigo,566
Vistara,773
Indigo,2248
Air India,409
Air India,776
GO FIRST,571
Indigo,684
Air India,9875
GO FIRST,504
GO FIRST,713
Indigo,6965
Indigo,6277
GO FIRST,422
Indigo,152
Indigo,5376
Indigo,7136
GO FIRST,354
GO FIRST,7538
SpiceJet,611
Indigo,668
SpiceJet,8721
Indigo,357
AirAsia,423
GO FIRST,451
GO FIRST,625
Indigo,2026
GO FIRST,7559
GO FIRST,626
GO FIRST,7541
Indigo,528
AirAsia,1576
Indigo,2188
Indigo,562
SpiceJet,731
GO FIRST,325
SpiceJet,8903
Indigo,2338
Air India,459
Indigo,913
SpiceJet,401
Air India,467
AirAsia,764
AirAsia,1530
Air India,633
Air India,743
SpiceJet,3283
GO FIRST,520
Indigo,6567
AirAsia,941
SpiceJet,488
Indigo,2516
Indigo,6513
GO FIRST,791
Indigo,282
Indigo,6187
Air India,545
Indigo,6366
Indigo,772
Indigo,126
AirAsia,773
Air India,891
Indigo,331
GO FIRST,363
Indigo,515
AirAsia,819
Indigo,6222
Indigo,6591
AirAsia,371
Indigo,131
SpiceJet,531
GO FIRST,103
Air India,451
Indigo,599
AirAsia,410
GO FIRST,7549
Indigo,2102
AirAsia,1983
Indigo,895
Indigo,426
Indigo,5013
SpiceJet,3002
Indigo,161
Indigo,6785
Indigo,457
SpiceJet,276
SpiceJet,4417
Indigo,879
SpiceJet,143
AirAsia,1780
Indigo,6345
Indigo,6051
SpiceJet,4027
Indigo,654
GO FIRST,7543
Air India,9657
AirAsia,992
GO FIRST,1404
Indigo,285
Indigo,807
GO FIRST,365
AirAsia,592
SpiceJet,732
Indigo,7271
SpiceJet,475
AirAsia,1561
GO FIRST,349
Indigo,607
Indigo,2077
Indigo,134
AirAsia,1321
Indigo,6234
GO FIRST,371
SpiceJet,8207
SpiceJet,191
AirAsia,556
GO FIRST,387
Indigo,796
GO FIRST,808
Indigo,5369
Indigo,992
Indigo,743
Indigo,2028
Indigo,6104
Indigo,7185
Air India,531
Indigo,804
Indigo,982
Indigo,6433
Indigo,5367
Vistara,855
Indigo,181
Indigo,7264
Indigo,2373
GO FIRST,393
GO FIRST,532
Indigo,276
Indigo,7156
Indigo,927
Indigo,958
AirAsia,339
Indigo,2062
Indigo,6014
Indigo,2181
Indigo,5398
GO FIRST,701
